periode,capacite_fabricant,disruption_fabricant,duree_disruption_restante,demande_patient,demande_prevue,commande_pharmacie,commande_grossiste,livraison_grossiste,livraison_pharmacie,demande_non_servie,taux_service,stock_grossiste,stock_pharmacie,stock_transit_fg,stock_transit_gp,rupture_grossiste,rupture_pharmacie,target_rupture_4_semaines
68,83.5698336078427,True,19,101.11307424540762,94.96572000891214,158.54294282940347,0.0,85.45270442064498,86.31968323783013,0.0,1.0,1954.3182441820124,121.62938617193119,328.40198353713413,158.54294282940347,False,False,0
69,86.47041242349633,True,18,119.38530562805298,98.26183229942762,176.63244612749645,0.0,80.74900819975822,158.54294282940347,0.0,1.0,1876.5243095523672,160.7870233732817,334.1233877608723,176.63244612749645,False,False,0
70,89.30455887001706,True,17,121.41941533140975,101.48245326138301,140.69542988810133,0.0,81.10202871918062,176.63244612749645,0.0,1.0,1780.9938921440514,216.0000541693684,342.3259179117087,140.69542988810133,False,False,0
71,92.46235540056462,True,16,111.55851417809492,105.07085840973251,89.0708042403641,0.0,82.98111301035262,140.69542988810133,0.0,1.0,1723.2795752663028,245.13696987937482,351.8071603019207,89.0708042403641,False,False,0
72,93.67630084119665,True,15,116.70164406816836,106.45034186499618,61.31337198562136,0.0,83.5698336078427,89.0708042403641,0.0,1.0,1717.7786046337812,217.50613005157055,361.91362753527466,61.31337198562136,False,False,0
73,98.63812941750678,True,14,62.07561742237268,112.08878342898497,94.58265337741442,0.0,86.47041242349633,61.31337198562136,0.0,1.0,1742.9356450716562,216.74388461481922,374.0813445292851,94.58265337741442,False,False,0
74,90.83025438521172,True,13,92.3867161175264,103.2161981650133,86.47231355019407,0.0,89.30455887001706,94.58265337741442,0.0,1.0,1737.6575505642588,218.9398218747072,375.60704004447973,86.47231355019407,False,False,0
75,89.56647425932768,True,12,98.41307672295996,101.78008438559962,82.84026251089242,0.0,92.46235540056462,86.47231355019407,0.0,1.0,1743.6475924146293,206.99905870194135,372.7111589032428,82.84026251089242,False,False,0
76,90.5358700085392,True,11,80.48018839998221,102.88167046424908,95.88261176230773,0.0,93.67630084119665,82.84026251089242,0.0,1.0,1754.4836307449336,209.35913281285153,369.57072807058535,95.88261176230773,False,False,0
77,88.2662525655424,True,10,69.34787927057755,100.3025597335709,90.94342692071938,0.0,98.63812941750678,95.88261176230773,0.0,1.0,1757.2391484001325,235.8938653045817,359.19885121862103,90.94342692071938,False,False,0
78,82.7621356662201,True,9,109.33960267769268,94.04788143888648,58.15401613430477,0.0,90.83025438521172,90.94342692071938,0.0,1.0,1757.125975864625,217.49768954760842,351.1307324996294,58.15401613430477,False,False,0
79,81.43335627431124,True,8,115.82119633646343,92.53790485717185,75.04021530956344,0.0,89.56647425932768,58.15401613430477,0.0,1.0,1788.5384339896477,159.83050934544977,342.99761451461296,75.04021530956344,False,False,0
80,81.90225131173177,True,7,69.6319767228791,93.0707401269679,133.24023078151814,0.0,90.5358700085392,75.04021530956344,0.0,1.0,1804.0340886886236,165.2387479321341,334.3639958178055,133.24023078151814,False,False,0
81,76.72458790374996,True,6,75.95319438843634,87.18703170880676,121.94828377667267,0.0,88.2662525655424,133.24023078151814,0.0,1.0,1759.0601104726477,222.52578432521588,322.8223311560131,121.94828377667267,False,False,0
82,78.25112137001696,True,5,122.69869401314924,88.92172882956471,66.39594450434883,0.0,82.7621356662201,121.94828377667267,0.0,1.0,1719.873962362195,221.77537408873928,318.31131685980995,66.39594450434883,False,False,0
83,81.58543893853548,True,4,89.12892229026032,92.71072606651757,70.93535197777828,0.0,81.43335627431124,66.39594450434883,0.0,1.0,1734.9113741321576,199.0423963028278,318.4633995240342,70.93535197777828,False,False,0
84,80.5641819509385,True,3,91.25749094571502,91.55020676243011,92.50781045960231,0.0,81.90225131173177,70.93535197777828,0.0,1.0,1745.878273466111,178.72025733489107,317.1253301632409,92.50781045960231,False,False,0
85,81.74968523096912,True,2,77.97248508744957,92.89736958064671,114.17711224575564,0.0,76.72458790374996,92.50781045960231,0.0,1.0,1730.0950509102588,193.2555827070438,322.15042749046006,114.17711224575564,False,False,0
86,82.69839187082503,True,1,81.97173409333598,93.9754453077557,100.7198626007119,0.0,78.25112137001696,114.17711224575564,0.0,1.0,1694.1690600345203,225.46096085946348,326.59769799126815,100.7198626007119,False,False,0
87,79.6879263265458,False,0,113.27351155028441,90.55446173471113,65.09350087524764,0.0,81.58543893853548,100.7198626007119,0.0,1.0,1675.0346363723438,212.90731190989095,324.7001853792785,65.09350087524764,False,False,0
88,99.25960125008262,False,0,113.27604782555062,90.23600113643874,77.3286892265478,15.201364764094933,80.5641819509385,65.09350087524764,0.0,1.0,1690.5053174480347,164.72476495958796,343.3956046784226,77.3286892265478,False,False,0
89,105.26066102669996,False,0,90.30511557176308,95.69151002427269,130.96674506468474,5.1861925762379855,81.74968523096912,77.3286892265478,0.0,1.0,1694.926313452456,151.74833861437267,366.90658047415343,130.96674506468474,False,False,0
90,107.23405018940738,False,0,118.89335603233442,97.48550017218852,145.73716155781585,2.5591867197324802,82.69839187082503,130.96674506468474,0.0,1.0,1646.6579602585962,163.82172764672302,391.4422387927358,145.73716155781585,False,False,0
91,106.71081621704535,False,0,102.51162706698632,97.00983292458668,133.18810527786366,50.3518726659905,79.6879263265458,145.73716155781585,0.0,1.0,1580.608725027326,207.0472621375526,418.4651286832353,133.18810527786366,False,False,0
92,108.55093812384519,False,0,98.63195079384569,98.68267102167744,91.63540888412484,118.07394599435139,99.25960125008262,133.18810527786366,0.0,1.0,1546.6802209995449,241.60341662157055,427.7564655569979,91.63540888412484,False,False,0
93,109.56492635296316,False,0,94.9568321844542,99.60447850269377,58.00106188112322,152.9242575031489,105.26066102669996,91.63540888412484,0.0,1.0,1560.30547314212,238.2819933212412,432.06073088326104,58.00106188112322,False,False,0
94,111.90027407880129,False,0,91.27470235373494,101.72752188981934,63.44552856857814,141.4220487476993,107.23405018940738,58.00106188112322,0.0,1.0,1609.5384614504042,205.0083528486295,436.72695477265495,63.44552856857814,False,False,0
95,113.17943221460615,False,0,115.77053437180177,102.89039292236922,97.88204007373972,93.35193147196506,106.71081621704535,63.44552856857814,0.0,1.0,1652.8037490988713,152.68334704540587,443.1955707702158,97.88204007373972,False,False,0
96,129.88134059378655,False,0,76.68002785195773,103.20252077505889,150.519173729653,50.398771676187565,108.55093812384519,97.88204007373972,0.0,1.0,1663.4726471489769,173.88535926718785,464.52597324015716,150.519173729653,False,False,0
97,130.0,False,0,94.13194904220502,98.62801827835978,124.74265901117192,35.1553711293829,109.56492635296316,150.519173729653,0.0,1.0,1622.518399772287,230.27258395463588,484.961046887194,124.74265901117192,False,False,0
98,130.0,False,0,100.7467509717372,99.10637246216501,68.83378850752914,76.587972689878,111.90027407880129,124.74265901117192,0.0,1.0,1609.6760148399162,254.26849199407064,503.0607728083927,68.83378850752914,False,False,0
99,106.5218515125494,False,0,116.96080447768117,96.83804682959035,42.56955483551971,87.16203198967415,113.17943221460615,68.83378850752914,0.0,1.0,1654.0216585469932,206.14147602391864,496.40319210633595,42.56955483551971,False,False,0
100,108.50861340651996,False,0,92.40685699860927,98.64419400592722,92.50271798200858,44.622535458934024,129.88134059378655,42.56955483551971,0.0,1.0,1741.33344430526,156.30417386082908,475.03046491906935,92.50271798200858,False,False,0
101,107.65266300967494,False,0,88.20247444659353,97.86605728152266,141.56188342069356,0.0,130.0,92.50271798200858,0.0,1.0,1778.8307263232514,160.60441739624414,452.6831279287443,141.56188342069356,False,False,0
102,106.72393882071908,False,0,120.58490773988285,97.02176256429007,136.41734516804593,0.0,130.0,141.56188342069356,0.0,1.0,1767.268842902558,181.58139307705483,429.4070667494634,136.41734516804593,False,False,0
103,110.75409206131444,False,0,107.29015615502514,100.68553823755857,119.10414516050375,0.0,106.5218515125494,136.41734516804593,0.0,1.0,1737.3733492470615,210.7085820900756,433.6393072982284,119.10414516050375,False,False,0
